location,year,km_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,brand,model,id
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,2961250.0,mahindra,xuv500,
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,2703750.0,hyundai,verna,
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,9913750.0,toyota,innova,
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,2013650.0,maruti,eeco,
Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,1107250.0,tata,nano,
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,10686250.0,bmw,3-series,
Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,1725250.0,honda,civic,
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,5721650.0,toyota,innova,
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,10300000.0,volvo,v40,
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,3373250.0,nissan,micra,
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,3605000.0,bmw,5-series,
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,3862500.0,maruti,vitara,
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,92.23,5.0,437750.0,hyundai,santro,
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,8626250.0,mercedes-benz,b,
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,5639250.0,hyundai,verna,
Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,1261750.0,maruti,wagon-r,
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,1663450.0,tata,nano,
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,3991250.0,mahindra,scorpio,
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,4815250.0,n,e,
Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,1673750.0,maruti,wagon-r,
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,2703750.0,honda,cr-v,
Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,3733750.0,volkswagen,vento,
Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,3847050.0,maruti,ciaz,
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,6823750.0,mahindra,xuv500,
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,2992150.0,maruti,ritz,
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,1339000.0,maruti,alto,
Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,27810000.0,mercedes-benz,slc,
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,5922500.0,hyundai,verna,
Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,824000.0,maruti,alto,
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,8868300.0,bmw,1-series,
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,3090000.0,honda,jazz,
Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2034250.0,honda,civic,
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,9244250.0,n,e,
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1905500.0,honda,amaze,
Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,2796450.0,maruti,swift,
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,92.23,5.0,860050.0,hyundai,santro,
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,6947350.0,toyota,fortuner,
Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,1467750.0,chevrolet,beat,
Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,2446250.0,skoda,rapid,
Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,5098500.0,maruti,ciaz,
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,19055000.0,audi,rs5,
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,13647500.0,bmw,3-series,
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,12009800.0,audi,a4,
Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3218750.0,maruti,swift,
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,15450000.0,mercedes-benz,s,
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,5077900.0,skoda,rapid,
Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,4377500.0,skoda,superb,
Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,2178450.0,hyundai,eon,
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,1802500.0,volkswagen,polo,
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,1287500.0,datsun,go,
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,1230850.0,honda,brio,
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,5793750.0,mercedes-benz,b,
Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,3661650.0,honda,city,
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,5613500.0,toyota,innova,
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,3193000.0,maruti,swift,
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,4068500.0,mahindra,xuv500,
Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,2276300.0,ford,ecosport,
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,6952500.0,toyota,fortuner,
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,3218750.0,volkswagen,vento,
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,1081500.0,ford,figo,
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,23175000.0,bmw,x5,
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,17334900.0,n,e,
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,1879750.0,honda,brio,
Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1416250.0,hyundai,i10,
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,21887500.0,mercedes-benz,glc,
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,3347500.0,hyundai,grand,
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,9785000.0,audi,a6,
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,2291750.0,volkswagen,vento,
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,11845000.0,mini,countryman,
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,4300250.0,hyundai,i20,
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,11819250.0,audi,a6,
Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,772500.0,chevrolet,beat,
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,3548350.0,skoda,superb,
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,746750.0,ford,fiesta,
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,17252500.0,bmw,5-series,
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,643750.0,chevrolet,optra,
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2163000.0,volkswagen,polo,
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,3476250.0,renault,lodgy,
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,16480000.0,mercedes-benz,e-class,
Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,3862500.0,maruti,baleno,
Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,2369000.0,hyundai,verna,
Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,2080600.0,hyundai,i10,
Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,5309650.0,mahindra,scorpio,
Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,28716400.0,land-rover,range,
Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,1339000.0,ford,figo,
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,4377500.0,maruti,ertiga,
Ahmedabad,2007,60006,Petrol,Manual,First,18.49,1502.455149501661,108.54,5.0,1519250.0,honda,city,
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1802500.0,honda,amaze,
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1828250.0,hyundai,i10,
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1673750.0,honda,amaze,
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,2317500.0,skoda,laura,
Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,2755250.0,renault,duster,
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,3347500.0,mahindra,nuvosport,
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,4635000.0,maruti,vitara,
Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,3090000.0,hyundai,i20,
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,1416250.0,skoda,fabia,
Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,772500.0,tata,indigo,
Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,10248500.0,audi,q3,
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,5150000.0,skoda,octavia,
Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,1545000.0,toyota,etios,
Kolkata,2010,42001,Petrol,Manual,First,16.1,1149.7433333333333,74.25,5.0,1086650.0,maruti,swift,
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,6159400.0,mercedes-benz,b,
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,1673750.0,honda,amaze,
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,2446250.0,hyundai,verna,
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,3064250.0,renault,duster,
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,4197250.0,hyundai,creta,
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,2173300.0,maruti,wagon-r,
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,5407500.0,n,e,
Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,23175000.0,audi,a8,
Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,1493500.0,hyundai,i10,
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,4583500.0,skoda,rapid,
Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,13390000.0,skoda,superb,
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,4233300.0,hyundai,i20,
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,1802500.0,honda,amaze,
Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,643750.0,maruti,wagon-r,
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,1905500.0,mahindra,verito,
Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,20296150.0,n,e,
Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,1364750.0,maruti,wagon-r,
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,4593800.0,nissan,terrano,
Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,74.25,5.0,2111500.0,maruti,swift,
Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,18370050.0,mini,cooper,
Bangalore,2015,70436,Diesel,Manual,First,18.53,1498.0,99.0,5.0,1854000.0,ford,figo,
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,437750.0,tata,indica,
Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,1709800.0,chevrolet,beat,
Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,1854000.0,volkswagen,polo,
Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3502000.0,maruti,swift,
Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,1287500.0,ford,figo,
Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,10114600.0,toyota,innova,
Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,3605000.0,hyundai,santa,
Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,1993050.0,honda,city,
Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,3229050.0,hyundai,i20,
Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,9331800.0,n,e,
Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1364750.0,chevrolet,beat,
Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,3708000.0,hyundai,i20,
Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,7364500.0,toyota,innova,
Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,3553500.0,maruti,ertiga,
Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,5536250.0,toyota,innova,
Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086.0,92.23,5.0,489250.0,hyundai,santro,
Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,4166350.0,honda,city,
Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,9527500.0,bmw,x1,
Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,2446250.0,hyundai,grand,
Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,4351750.0,maruti,ciaz,
Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,1802500.0,skoda,rapid,
Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,927000.0,hyundai,accent,
Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,1905500.0,volkswagen,polo,
Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,3692550.0,honda,jazz,
